"names","pts","ast","reb","wins","total_games","win_pct","year"
"Don Lofgran",4.76190476190476,NA,NA,6,21,0.285714285714286,1954
"Don Meineke",5.77464788732394,NA,NA,39,71,0.549295774647887,1954
"Don Sunderlage",11.469696969697,NA,NA,17,66,0.257575757575758,1954
"Donald Ackerman",1.59259259259259,NA,NA,10,27,0.37037037037037,1954
"Earl Lloyd",9.06944444444444,NA,NA,42,72,0.583333333333333,1954
"Ed Earle",2,0,1,1,2,0.5,1954
"Ed Macauley",18.9154929577465,NA,NA,41,71,0.577464788732394,1954
"Ed Mikan",2.33333333333333,NA,NA,3,9,0.333333333333333,1954
"Ed Smith",2.71428571428571,NA,NA,5,14,0.357142857142857,1954
"Eddie Miller",9.80281690140845,NA,NA,16,71,0.225352112676056,1954
"Ernie Barrett",2.31034482758621,NA,NA,32,58,0.551724137931034,1954
"Ernie Beck",7.46666666666667,NA,NA,6,15,0.4,1954
"Ernie Vandeweghe",6.6,NA,NA,11,15,0.733333333333333,1954
"Francis Mahoney",0,NA,NA,0,2,0,1954
"Frank Brian",6.38095238095238,NA,NA,36,63,0.571428571428571,1954
"Frank Reddout",1.85714285714286,0,NA,4,7,0.571428571428571,1954
"Frank Saul",6.42253521126761,NA,NA,45,71,0.633802816901408,1954
"Fred Schaus",7.02985074626866,NA,NA,35,67,0.522388059701492,1954
"Freddie Scolari",7.234375,NA,NA,34,64,0.53125,1954
"Gene Dyker",1.45454545454545,NA,NA,3,11,0.272727272727273,1954
"George King",11.3472222222222,NA,NA,42,72,0.583333333333333,1954
"George Mikan",18.1111111111111,NA,NA,46,72,0.638888888888889,1954
"George Ratkovicz",8.23188405797101,NA,NA,20,69,0.289855072463768,1954
"George Senesky",1.91379310344828,NA,NA,25,58,0.431034482758621,1954
"George Yardley",8.92063492063492,NA,NA,37,63,0.587301587301587,1954
"Hal Uplinger",3.73913043478261,NA,NA,4,23,0.173913043478261,1954
"Harry Gallatin",13.1666666666667,NA,NA,44,72,0.611111111111111,1954
"Irv Bemoras",7.41791044776119,NA,NA,19,67,0.283582089552239,1954
"Jack Coleman",9.66197183098592,NA,NA,43,71,0.605633802816901,1954
"Jack George",9.64285714285714,NA,NA,28,70,0.4,1954
"Jack McMahon",10.0140845070423,NA,NA,43,71,0.605633802816901,1954
"Jack Molinas",11.5625,NA,NA,15,32,0.46875,1954
"Jack Nichols",5.84,NA,NA,41,75,0.546666666666667,1954
"Jim Baechtold",6.74285714285714,NA,NA,42,70,0.6,1954
"Jim Fritsche",4.22388059701493,NA,NA,16,67,0.238805970149254,1954
"Jim Holstein",3.38571428571429,NA,NA,44,70,0.628571428571429,1954
"Jim Luisi",2.96666666666667,NA,NA,7,30,0.233333333333333,1954
"Jim Neal",4.74242424242424,NA,NA,37,66,0.560606060606061,1954
"Jim Phelan",1,NA,NA,1,3,0.333333333333333,1954
"Jim Pollard",11.7464788732394,NA,NA,45,71,0.633802816901408,1954
"Joe Fulks",2.41935483870968,NA,NA,24,62,0.387096774193548,1954
"Joe Graboski",13.3661971830986,NA,NA,28,71,0.394366197183099,1954
"Joe Smyth",3.20512820512821,NA,NA,10,39,0.256410256410256,1954
"Ken Murray",3.10416666666667,NA,NA,27,48,0.5625,1954
"Larry Foust",15.1111111111111,NA,NA,40,72,0.555555555555556,1954
"Leo Barnhorst",6.49295774647887,NA,NA,23,71,0.323943661971831,1954
"Lew Hitch",7.98591549295775,NA,NA,20,71,0.28169014084507,1954
"Mark Workman",4,NA,NA,3,14,0.214285714285714,1954
"Max Zaslofsky",12.4615384615385,NA,NA,28,65,0.430769230769231,1954
"Mel Hutchins",10.3194444444444,NA,NA,40,72,0.555555555555556,1954
"Mike Novak",0.2,NA,NA,5,5,1,1954
"Nat Clifton",9.61111111111111,NA,NA,44,72,0.611111111111111,1954
"Neil Johnston",24.3472222222222,NA,NA,29,72,0.402777777777778,1954
"Norm Grekin",0,0,0,1,1,1,1954
"Norm Swanson",1.69491525423729,NA,NA,37,59,0.627118644067797,1954
"Odie Spears",7.625,NA,NA,44,72,0.611111111111111,1954
"Paul Nolen",0,0,1,0,1,0,1954
"Paul Seymour",13.112676056338,NA,NA,41,71,0.577464788732394,1954
"Paul Walther",6.5625,NA,NA,26,64,0.40625,1954
"Rabbit Walthour",0.5,NA,NA,1,4,0.25,1954
"Ray Felix",17.830985915493,NA,NA,16,71,0.225352112676056,1954
"Red Holzman",3.75510204081633,NA,NA,14,49,0.285714285714286,1954
"Robert Zawoluk",8.47142857142857,NA,NA,28,70,0.4,1954
"Rollen Hans",7.28787878787879,NA,NA,16,66,0.242424242424242,1954
"Slater Martin",9.88405797101449,NA,NA,45,69,0.652173913043478,1954
"Vern Mikkelsen",11.0694444444444,NA,NA,46,72,0.638888888888889,1954
"Vince Boryla",8.05769230769231,NA,NA,31,52,0.596153846153846,1954
"Wally Osterkorn",8.78571428571429,NA,NA,41,70,0.585714285714286,1954
"Walt Davis",6.09090909090909,NA,NA,26,66,0.393939393939394,1954
"Whitey Skoog",6.98591549295775,NA,NA,46,71,0.647887323943662,1954
"Zeke Sinicola",1.22222222222222,NA,NA,4,9,0.444444444444444,1954
"Al Roges",2.5,NA,NA,3,4,0.75,1955
"Alex Hannum",5.90566037735849,NA,NA,22,53,0.415094339622642,1955
"Andy Phillip",9.6875,NA,NA,39,64,0.609375,1955
"Arnie Risen",11.4782608695652,NA,NA,28,69,0.405797101449275,1955
"Art Spoelstra",6.11428571428571,NA,NA,27,70,0.385714285714286,1955
"Bear, The Body Hoffman",2.62068965517241,NA,NA,10,29,0.344827586206897,1955
"Bert Cook",3.18918918918919,NA,NA,17,37,0.459459459459459,1955
"Bill Calhoun",6.59420289855072,NA,NA,23,69,0.333333333333333,1955
"Bill Kenville",7.11428571428571,NA,NA,41,70,0.585714285714286,1955
"Bill Sharman",18.4264705882353,NA,NA,35,68,0.514705882352941,1955
"Billy Gabor",5.66666666666667,3.66666666666667,NA,1,3,0.333333333333333,1955
"Bob Brannum",6.25352112676056,NA,NA,36,71,0.507042253521127,1955
"Bob Carney",3.63157894736842,NA,NA,10,19,0.526315789473684,1955
"Bob Cousy",21.1830985915493,NA,NA,36,71,0.507042253521127,1955
"Bob Davies",12.0555555555556,NA,NA,29,72,0.402777777777778,1955
"Bob Harrison",10.0555555555556,NA,NA,26,72,0.361111111111111,1955
"Bob Houbregs",6.2037037037037,NA,NA,29,54,0.537037037037037,1955
"Bob Knight",3.5,4,0.5,0,2,0,1955
"Bob Peterson",4.16216216216216,NA,NA,21,37,0.567567567567568,1955
"Bob Pettit",20.3333333333333,NA,NA,26,72,0.361111111111111,1955
"Bobby Wanzer",13.0138888888889,NA,NA,29,72,0.402777777777778,1955
"Bobby Watson",2.80952380952381,NA,NA,32,63,0.507936507936508,1955
"Boris Nachamkin",3.33333333333333,NA,NA,2,6,0.333333333333333,1955
"Cal Christensen",4.98591549295775,NA,NA,28,71,0.394366197183099,1955
"Carl Braun",15.1267605633803,NA,NA,38,71,0.535211267605634,1955
"Carl McNulty",2,0,0,0,1,0,1955
"Charlie Share",11.8840579710145,NA,NA,25,69,0.36231884057971,1955
"Chuck Cooper",8.21428571428571,NA,NA,25,70,0.357142857142857,1955
